Sample	Grade	FOXP3	PDCD1	CTLA4	LAYN
Cat_N001	Normal	0.244913233	0.097059634	0.254099055	0.42204509
Cat_N002	Normal	0.348630061	0.046142871	0.2854794	0.255315269
Cat_N003	Normal	0.368863539	0.190074072	0.542524585	0.204653694
Cat_N004	Normal	0.170740663	0.652870013	0.687186459	2.003562264
Cat_N005	Normal	0.747484739	0.216722684	1.723042336	0.56423372
Cat_N006	Normal	0.545395629	0.203397789	0.241568541	0.366657444
Cat_N007	Normal	0.481127718	0.12314891	0.281185013	0.421514728
Cat_N011	Normal	0.421200795	0.460347296	0.32991311	0.405158928
Cat_N012	Normal	0.128971923	0.236876659	0.516104378	0.687465845
Cat_N013r	Normal	0.543674866	0.245332545	0.628704006	0.263083524
Cat_N014	Normal	0.508238666	0.178526396	0.582631652	0.494565805
Cat_N015	Normal	0.441625748	0.224226671	0.121931374	0.177467215
Cat_N016	Normal	0.150576751	0.113050219	0.112688206	0.232851533
Cat_N017	Normal	0.183867828	0.323205913	0.374260786	0.24365622
Cat_N018	Normal	0.292699779	0.211988529	0.247307847	0.400087214
Cat_HPC-002	T1	0.065782465	0.514426608	0.162452642	0.266744965
Cat_TG1-004	T1	1.131313022	0.092695041	0.264670848	0.153972472
Cat_TG1-009	T1	2.301513843	0.126532905	0.634177681	0.146905632
Cat_TG1-013	T1	0.815245815	0.437942543	1.336016902	0.793249735
Cat_TG2-002	T1	0.912150435	0.045799761	0.373279158	0.35958501
Cat_TG2-008	T1	1.431076354	0.207379221	0.281239989	0.447642862
Cat_TG2-012	T1	0.500967796	0.360432578	0.531409431	0.146841134
Cat_TG2-014	T1	1.377032456	0.102581993	0.102386762	0.264442508
Cat_TG2-025	T1	2.698079327	0.082700305	0.295681587	0.128261595
Cat_TG2-026	T1	0.374026908	0.746871247	2.52777763	0.308573304
Cat_TG2-032	T1	0.203563919	0.127507176	0.837409158	0.741249238
Cat_TG3-005	T1	0.054393384	0.064479654	0.094887865	0.136830965
Cat_TG3-006	T1	0.534828665	0.103916687	2.112176616	0.829159118
Cat_TG3-009	T1	1.366991389	0	0.119629537	0.19845749
Cat_TG3-010	T1	0.362277916	0.074671972	0.50749411	0.165020459
Cat_TG3-021	T1	0.064273384	0	0.32210388	0.296094972
Cat_TG3-024	T1	0.481056201	0	0	0.646973774
Cat_DH013	T2	4.38248804	0.294488855	0.902519483	0.241280004
Cat_TG1-003	T2	1.899580318	0.631897492	0.115736495	0.208412177
Cat_TG1-005	T2	8.505963399	0.105237781	0.389238045	0.2439549
Cat_TG1-007	T2	4.685406882	0.27399765	0.174257017	0.22170591
Cat_TG1-012	T2	0.699125389	0.208548709	0.911432186	0.421896313
Cat_TG1-017r	T2	0.735083338	0.362433816	0.427867311	0.295200403
Cat_TG1-021	T2	0.764343553	0.467433135	0.981623762	1.35558285
Cat_TG2-001	T2	0.102313883	0.047467536	0.229014451	0.595460009
Cat_TG2-004	T2	0.180626918	0.541890767	0.375860258	0.512630907
Cat_TG2-010	T2	0.999531366	0.155021395	0.618709724	0.315001575
Cat_TG2-019	T2	0.263693416	0.826529844	2.150028174	1.059557055
Cat_TG2-022	T2	0.291403784	0.32419032	0.710217248	0.344669799
Cat_TG2-030	T2	0.086919994	0	0.043885036	0.250413113
Cat_TG2-034	T2	1.016375721	0.097530021	0.065696657	0.61370898
Cat_TG2-035r	T2	0.930631776	0.294983691	0.794395082	0.339048862
Cat_TG2-036	T2	0.333651512	0.105010968	0.261092017	0.901992489
Cat_TG2-038	T2	0.146905632	0.182711658	0.40476894	0.358162924
Cat_TG3-001	T2	3.095372722	0.124983534	0.318126633	0.238841259
Cat_TG3-002	T2	1.061220081	0.105044379	0.532255484	0.268394769
Cat_TG3-003	T2	8.923955946	1.00888446	1.436150307	0.530056462
Cat_TG3-004	T2	0.462130254	0.229610681	1.175062111	0.348827146
Cat_TG3-007	T2	0.081371937	0.037016564	0.304273627	0.162426874
Cat_TG3-008	T2	0.705295734	0.718356571	4.457555763	1.21393929
Cat_TG3-013	T2	0.106667724	0.010645233	0.289656768	0.27925581
Cat_TG3-015	T2	0.764933564	0.195773231	0.599236581	0.489888887
Cat_TG3-016	T2	0	0.125241295	0.124745449	0.264250406
Cat_TG3-019	T2	0.079537247	0.058496622	0.296672085	0.172284861
Cat_HPC-003r	T3/4	0.84029121	0.294004241	0.054673451	0.358308081
Cat_HPC-004	T3/4	0.363478248	0.052946982	1.75730382	0.434241331
Cat_HPC-005	T3/4	0.628424173	0.315299879	4.112715535	8.383550567
Cat_HPC-006	T3/4	0.165359354	0	0.202588885	0.961491152
Cat_TG1-023	T3/4	0.94972656	0.076477087	0.111519811	0.442759302
Cat_TG2-006	T3/4	0.454868729	0.348668406	0.935008741	1.198978147
Cat_TG2-013	T3/4	0.411400079	0.284784321	0.982660815	1.411925439
Cat_TG2-023	T3/4	12.47919521	0.083881518	0.083819531	0.171795298
Cat_TG2-028	T3/4	0.251243473	0.027422067	0.556097853	0.331600976
Cat_TG2-029	T3/4	0.44349717	0.120954657	0.60813654	0.463260333
Cat_TG2-033	T3/4	0.671038727	0.681000454	0.395281332	2.354048524
Cat_TG2-037	T3/4	0.260294696	0.20364092	0.233007971	0.104556183
Cat_TG3-012	T3/4	1.02668713	0	0	0.417080753
Cat_TG3-020	T3/4	14.28122904	0.182351083	0.33162543	0.75676517
Cat_TG3-023	T3/4	0.105563571	0.058996322	0.201602237	0.500430671
