CellType	Stage	MedianChange	Direction
11NKRestingCatholic	Normal-FibCS	0	Nochange
11NKRestingRiken	Normal-FibCS	NA	NA
11NKRestingTCGA	Normal-FibCS	NA	NA
12NKActivatedCatholic	Normal-FibCS	0.009095476	Increase
12NKActivatedRiken	Normal-FibCS	NA	NA
12NKActivatedTCGA	Normal-FibCS	NA	NA
13MonocytesCatholic	Normal-FibCS	0.023034164	Increase
13MonocytesRiken	Normal-FibCS	NA	NA
13MonocytesTCGA	Normal-FibCS	NA	NA
14MacrophagesM0Catholic	Normal-FibCS	0.019871548	Increase
14MacrophagesM0Riken	Normal-FibCS	NA	NA
14MacrophagesM0TCGA	Normal-FibCS	NA	NA
15MacrophagesM1Catholic	Normal-FibCS	0.033111659	Increase
15MacrophagesM1Riken	Normal-FibCS	NA	NA
15MacrophagesM1TCGA	Normal-FibCS	NA	NA
16MacrophagesM2Catholic	Normal-FibCS	0.056211356	Increase
16MacrophagesM2Riken	Normal-FibCS	NA	NA
16MacrophagesM2TCGA	Normal-FibCS	NA	NA
17DCRestingCatholic	Normal-FibCS	0.020552999	Increase
17DCRestingRiken	Normal-FibCS	NA	NA
17DCRestingTCGA	Normal-FibCS	NA	NA
18DCActivatedCatholic	Normal-FibCS	0	Nochange
18DCActivatedRiken	Normal-FibCS	NA	NA
18DCActivatedTCGA	Normal-FibCS	NA	NA
19MastcellrestingCatholic	Normal-FibCS	0.007256983	Decrease
19MastcellrestingRiken	Normal-FibCS	NA	NA
19MastcellrestingTCGA	Normal-FibCS	NA	NA
20MastcellactivatedCatholic	Normal-FibCS	0	Nochange
20MastcellactivatedRiken	Normal-FibCS	NA	NA
20MastcellactivatedTCGA	Normal-FibCS	NA	NA
21EosinophilsCatholic	Normal-FibCS	0.003681587	Increase
21EosinophilsRiken	Normal-FibCS	NA	NA
21EosinophilsTCGA	Normal-FibCS	NA	NA
22NeutrophilsCatholic	Normal-FibCS	0.006299983	Decrease
22NeutrophilsRiken	Normal-FibCS	NA	NA
22NeutrophilsTCGA	Normal-FibCS	NA	NA
11NKRestingCatholic	FibCS-DN	0	Nochange
11NKRestingRiken	FibCS-DN	NA	NA
11NKRestingTCGA	FibCS-DN	NA	NA
12NKActivatedCatholic	FibCS-DN	0.003766446	Decrease
12NKActivatedRiken	FibCS-DN	NA	NA
12NKActivatedTCGA	FibCS-DN	NA	NA
13MonocytesCatholic	FibCS-DN	0.043842193	Decrease
13MonocytesRiken	FibCS-DN	NA	NA
