Sample	Grade	SLC4A10	ZBTB16	CD40LG	RORC
Cat_N001	Normal	0.358129821	10.38179386	0.295200403	22.13501668
Cat_N002	Normal	0.319297996	14.21600956	0.290843546	12.27446403
Cat_N003	Normal	0.400695048	13.29592917	0.366450468	13.10573142
Cat_N004	Normal	0.12911696	8.887894074	0.436629523	4.332559817
Cat_N005	Normal	0.931121162	18.54398931	1.314943084	7.714678893
Cat_N006	Normal	0.494885633	14.29990651	0.277953541	10.78258025
Cat_N007	Normal	0.156173438	12.19478791	0.254783931	12.11834492
Cat_N011	Normal	0.192604487	10.05445527	0.125660467	6.961682608
Cat_N012	Normal	0.587557669	5.921923291	0.389458152	11.71095245
Cat_N013r	Normal	0.436777342	8.247057498	0.214434184	16.78393539
Cat_N014	Normal	0.382859028	11.3105762	0.934250799	11.81516113
Cat_N015	Normal	1.006834017	14.95881404	0.252116414	18.99622398
Cat_N016	Normal	0.397628649	20.73199426	0.210423035	19.4933012
Cat_N017	Normal	1.058068976	8.563574647	0.534759554	13.09407965
Cat_N018	Normal	0.299709521	9.951453621	0.122363875	16.09014416
Cat_HPC-002	T1	0.098321684	5.302058368	0.5087408	21.35755907
Cat_TG1-004	T1	0.126558523	26.77860978	0.489062349	26.26719744
Cat_TG1-009	T1	0.266797648	6.22456104	1.037820292	14.57527422
Cat_TG1-013	T1	0.206075995	4.784406018	0.619548513	12.01763154
Cat_TG2-002	T1	0.397402343	11.05180967	0.736776272	21.62619924
Cat_TG2-008	T1	0.282112035	14.52764138	0.237790858	16.72153096
Cat_TG2-012	T1	0.316302644	16.54135228	0.489987768	23.28875723
Cat_TG2-014	T1	0.216207689	9.434789271	0.642933551	21.94195149
Cat_TG2-025	T1	0.030752221	21.31498826	0.513255105	23.77549348
Cat_TG2-026	T1	0.084342458	6.933073214	0.68222457	10.25431405
Cat_TG2-032	T1	0.125190223	4.193706562	0.406609075	10.08103895
Cat_TG3-005	T1	0.114743608	5.879455278	0.289493139	15.50131224
Cat_TG3-006	T1	1.247431473	7.318869225	2.314144241	5.328747205
Cat_TG3-009	T1	0.532767299	20.29120818	0.359180023	24.63433128
Cat_TG3-010	T1	0	0.234845391	0.091125024	4.11660394
Cat_TG3-021	T1	0.050289843	2.171530702	0.378436045	12.03523257
Cat_TG3-024	T1	0.104712635	5.779712946	0.203125037	40.99190247
Cat_DH013	T2	0.399615302	7.950438277	0.439038319	8.786328044
Cat_TG1-003	T2	0.395226524	11.63529381	0.128766216	19.01681155
Cat_TG1-005	T2	0.175516784	9.603464567	0.343365048	12.38696174
Cat_TG1-007	T2	0.117295345	9.050639796	0.713544236	17.67130561
Cat_TG1-012	T2	0.726861694	11.92058709	0.89864061	9.298640765
Cat_TG1-017r	T2	0.356819306	4.758306117	0.302361343	32.01626116
Cat_TG1-021	T2	0.311941159	9.270312761	1.392676442	9.925863526
Cat_TG2-001	T2	0.148670247	10.44200208	0.321074243	4.085592234
Cat_TG2-004	T2	0.076579133	2.737732508	0.328054164	0.217535797
Cat_TG2-010	T2	0.301248399	9.065842209	0.531362753	16.81108807
Cat_TG2-019	T2	0.31160766	3.681938674	2.144542061	5.300891824
Cat_TG2-022	T2	0.053542384	0.91892023	0.198000091	6.978668803
Cat_TG2-030	T2	0.09684321	0.411400079	0.11705222	30.64003152
Cat_TG2-034	T2	0	10.40047651	0	47.46291753
Cat_TG2-035r	T2	0.149281096	3.913016438	0.343042518	11.1010302
Cat_TG2-036	T2	0.047287596	17.21572821	0.083654118	8.35928407
Cat_TG2-038	T2	0.089764311	5.822950534	0.340177872	11.08876006
Cat_TG3-001	T2	0.003121449	11.32605022	0.167514468	6.226406137
Cat_TG3-002	T2	0.280085425	10.59620784	0.463040765	15.86499582
Cat_TG3-003	T2	0.115538871	5.200805219	0.187558106	19.70501515
Cat_TG3-004	T2	0.288810993	3.809475642	0.763230132	8.783707534
Cat_TG3-007	T2	0.322730425	4.430773672	0.66678425	1.036193979
Cat_TG3-008	T2	0.003222313	0.547562137	0.167940668	4.307375138
Cat_TG3-013	T2	0.03924107	2.07369832	0.311006847	7.764384843
Cat_TG3-015	T2	0.300169502	11.92058709	0.642819589	11.96347427
Cat_TG3-016	T2	0.109202739	3.315140973	0.298896021	6.350195178
Cat_TG3-019	T2	0.234619328	21.62619924	0.338144831	8.786328044
Cat_HPC-003r	T3/4	0.058888943	25.39293823	0.05999555	16.33475865
Cat_HPC-004	T3/4	0.109532021	0.349219927	0.909241053	4.776464076
Cat_HPC-005	T3/4	0.120395555	0.780087265	0.749019837	1.779133306
Cat_HPC-006	T3/4	0.043374381	2.056261073	0.184263563	11.90769139
Cat_TG1-023	T3/4	0.060713334	21.03056808	0.216460528	13.4052423
Cat_TG2-006	T3/4	0.300466696	10.09698874	1.085668482	11.01934349
Cat_TG2-013	T3/4	0.209417682	1.760224272	0.618962514	0.759184682
Cat_TG2-023	T3/4	0	43.51394802	0.129853593	30.29485679
Cat_TG2-028	T3/4	0.060868291	0.787923812	0.321147443	4.227559879
Cat_TG2-029	T3/4	0.042690894	28.40094571	0.145010982	7.563604552
Cat_TG2-033	T3/4	0.024879949	4.793186144	0.730260476	0.731122976
Cat_TG2-037	T3/4	0.149500575	11.33024022	0.203040212	15.71375777
Cat_TG3-012	T3/4	0	8.672247506	0.066584079	10.85515544
Cat_TG3-020	T3/4	0.14815495	8.706742065	0.323259695	9.603464567
Cat_TG3-023	T3/4	0.045912109	5.988332499	0.141254639	3.187178225
