Celltype	HR_Partial_abs	nomp_Partial_abs	padj_Partial_abs	HR_Total_abs	nomp_Total_abs	padj_Total_abs	HR_Partial_rela	nomp_Partial_rela	padj_Partial_rela	HR_Total_rela	nomp_Total_rela	padj_Total_rela
B cells naive	0.891147872	-0.805583929	-1	1.815407062	0.407662369	1	0.778596305	-0.659681443	-1	1.033312332	0.963048392	1
B cells memory	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Plasma cells	1.317289503	0.622012149	1	0.851395001	-0.81990186	-1	1.337061335	0.622012149	1	0.510633036	-0.348580912	-0.91175512
CD8	0.610554636	-0.357757694	-0.887354107	0.717476235	-0.648059653	-1	0.424310809	-0.104699477	-0.853954126	0.717476235	-0.648059653	-0.950487491
CD4 naive	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD4 MemRest	1.779986247	0.325135971	0.887354107	7.462278831	0.027276467	0.150020566	3.914203897	0.019744682	0.434383003	1.648185749	0.489694313	0.91175512
CD4 MemAct	1.370150051	0.58818622	1	0.90813584	-0.891577746	-1	0.979432958	-0.940261862	-1	1.541210927	0.550628082	0.91175512
Tfh	1.012802457	0.981564048	1	NA	NA	NA	0.998584009	-0.981564048	-1	NA	NA	NA
Tregs	NA	NA	NA	0.057698144	-0.00029067	-0.006394737	NA	NA	NA	0.048645767	-7.38E-05	-0.001623227
Tgd	0.71296303	-0.544804437	-1	8.059566695	0.020246011	0.148470751	0.71296303	-0.544804437	-1	8.059566695	0.020246011	0.148470751
NK resting	1.661054048	0.363008498	0.887354107	0.837171851	-0.801398001	-1	1.638547391	0.363008498	0.998273371	0.492976893	-0.323089025	-0.91175512
NK activated	0.229909911	-0.010599039	-0.149467433	1.591835637	0.520746008	1	0.455690858	-0.155264386	-0.853954126	1.783735748	0.42191042	0.91175512
Monocytes	0.551464495	-0.268466124	-0.887354107	3.072356325	0.148021127	0.465209257	0.612757643	-0.358808942	-0.998273371	3.072356325	0.148021127	0.65129296
Macrophages M0	1.118727028	0.838582944	1	0.249714394	-0.066779585	-0.293830172	1.209652404	0.696323685	1	0.506503054	-0.343249595	-0.91175512
Macrophages M1	0.54428601	-0.257745472	-0.887354107	3.219880789	0.130074259	0.465209257	0.536239306	-0.257745472	-0.945066732	3.219880789	0.130074259	0.65129296
Macrophages M2	0.269122337	-0.019065465	-0.149467433	1.493910331	0.580207803	1	0.782198179	-0.661972933	-1	1.493910331	0.580207803	0.91175512
DC resting	0.984968089	-0.963427005	-1	8.059566695	0.020246011	0.148470751	0.984968089	-0.963427005	-1	8.059566695	0.020246011	0.148470751
DC activated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MC resting	0.265092908	-0.020381923	-0.149467433	1.674476444	0.475728086	1	0.434151073	-0.132466414	-0.853954126	1.674476444	0.475728086	0.91175512
MC activated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eosinophils	NA	NA	NA	1.294392381	0.72319497	1	NA	NA	NA	1.135373537	0.861932634	1
Neutrophils	0.511212678	-0.219474538	-0.887354107	1.591835637	0.520746008	1	0.518430585	-0.219474538	-0.945066732	1.591835637	0.520746008	0.91175512
