Gene	pearson	HR	logRank	DFS	pearson_pretrx	HR_pretrx	logRank_pretrx	DFS_pretrx
TNFRSF4	0.424105229	3.858438012	0.075269571	NA	0.598447192	7.676940025	0.029306032	-1
CSF2RB	-0.355818874	0.346703506	0.174738228	NA	-0.542822179	0.126777257	0.026227087	1
TSLP	-0.361617558	NA	0.002000057	1	-0.438695021	NA	0.015759366	1
CCR1	-0.366707555	0.32548308	0.148021127	NA	-0.509768182	0.113930965	0.017101885	1
IL18	-0.378007225	0.32548308	0.148021127	NA	-0.544948271	0.143936	0.040012094	1
CCL4	-0.387400467	0.32548308	0.148021127	NA	-0.520397973	0.143936	0.040012094	1
LIFR	-0.39998848	0.134007322	0.027276467	1	-0.496460006	NA	0.007016426	1
IL10RA	-0.407266563	0.134007322	0.027276467	1	-0.598379848	NA	0.002543965	1
TNFRSF8	-0.409055937	0.32548308	0.148021127	NA	-0.65576253	0.088517965	0.005553415	1
CCL24	-0.429077683	0.32548308	0.148021127	NA	-0.534554462	0.143936	0.040012094	1
FLT3	-0.456590328	0.134007322	0.027276467	1	-0.540163984	NA	0.015759366	1
IFNAR1	-0.511395554	0.124076149	0.020246011	1	-0.599329138	0.113930965	0.017101885	1
